id	title	developer	genre	language	publisher	region	release_date	serial
SLPS-20221	Taiko no Tatsujin: Tatacon de Dodon ga Don	Namco	Rhythm	Japanese	Namco	NTSC-J	2003-03-27	SLPS-20221
SLPS-20222	Inaka Kurashi: Minami no Shima no Monogatari	N/A	Adventure	Japanese	N/A	NTSC-J	2002-09-12	SLPS-20222
SLPS-20223	Exciting Pro Wres 4	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-20223
SLPS-20224	Mahjong Haou: Dankyuu Battle	N/A	Strategy	Japanese	N/A	NTSC-J	2002-10-10	SLPS-20224
SLPS-20225	Toudai Shougi: Shiken Bisha Doujou	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-20225
SLPS-20226	Yamasa Digi World SP DX: Neo Planett XX	N/A	Casino	Japanese	N/A	NTSC-J	2002-09-26	SLPS-20226
SLPS-20227	Yamasa Digi World SP: Neo Planett XX	N/A	Casino	Japanese	N/A	NTSC-J	2002-09-26	SLPS-20227
SLPS-20228	Daisenryaku 1941: Gyakuten no Taiheiyou	SystemSoft	Strategy	Japanese	Sammy Studios	NTSC-J	2002-09-26	SLPS-20228
SLPS-20229	Hissatsu Pachinko Station V5: PinkLady	N/A	Casino	Japanese	N/A	NTSC-J	2002-10-31	SLPS-20229
SLPS-20230	Chulip	Punchline	Action / Adventure / Dating Simulation	Japanese	Victor Interactive Software	NTSC-J	2002-10-03	SLPS-20230
SLPS-20231	Freekstyle Motocross	Page 44 Studios	Sports.	Japanese	Electronic Arts	NTSC-J	2002-10-03	SLPS-20231
